"label","id_occupation"
"BME adviser","01ffb917-98dc-48c1-91ad-93c4104e791d"
"biomedical engineering expert","01ffb917-98dc-48c1-91ad-93c4104e791d"
"BME expert","01ffb917-98dc-48c1-91ad-93c4104e791d"
"biomedical engineering consultant","01ffb917-98dc-48c1-91ad-93c4104e791d"
"biomedical technology engineering specialist","01ffb917-98dc-48c1-91ad-93c4104e791d"
"biomedical technology engineer","01ffb917-98dc-48c1-91ad-93c4104e791d"
"biomedical engineering specialist","01ffb917-98dc-48c1-91ad-93c4104e791d"
"biomedical technology engineering adviser","01ffb917-98dc-48c1-91ad-93c4104e791d"
"BME specialist","01ffb917-98dc-48c1-91ad-93c4104e791d"
"biomedical technology engineering consultant","01ffb917-98dc-48c1-91ad-93c4104e791d"
"court-appointed guardian","021663ca-a367-472e-a1f0-6d8ab5b2d860"
"legal guardian","021663ca-a367-472e-a1f0-6d8ab5b2d860"
"welfare guardian","021663ca-a367-472e-a1f0-6d8ab5b2d860"
"youth legal guardian","021663ca-a367-472e-a1f0-6d8ab5b2d860"
"conservator","021663ca-a367-472e-a1f0-6d8ab5b2d860"
"intervenor","021663ca-a367-472e-a1f0-6d8ab5b2d860"
"foster parent","021663ca-a367-472e-a1f0-6d8ab5b2d860"
"department of work and pensions appointee","021663ca-a367-472e-a1f0-6d8ab5b2d860"
"financial guardian","021663ca-a367-472e-a1f0-6d8ab5b2d860"
"legal parent","021663ca-a367-472e-a1f0-6d8ab5b2d860"
"needle loom operator","02375132-3290-4221-bf55-d93ec61a3bf3"
"weaving forewoman","02375132-3290-4221-bf55-d93ec61a3bf3"
"fabric weaver","02375132-3290-4221-bf55-d93ec61a3bf3"
"manufacturing weaver","02375132-3290-4221-bf55-d93ec61a3bf3"
"textile weaver","02375132-3290-4221-bf55-d93ec61a3bf3"
"weaving machine operator","02375132-3290-4221-bf55-d93ec61a3bf3"
"cloth weaver","02375132-3290-4221-bf55-d93ec61a3bf3"
"weaver","02375132-3290-4221-bf55-d93ec61a3bf3"
"loom operator","02375132-3290-4221-bf55-d93ec61a3bf3"
"weaving foreman","02375132-3290-4221-bf55-d93ec61a3bf3"
"weaving machinist","02375132-3290-4221-bf55-d93ec61a3bf3"
